team,game_idx,predicted_wins,ci_margin
MIL,1,50.23231634004763,8.065958654762508
MIL,2,50.35203526913126,8.040823153320341
MIL,3,50.60435771541234,7.9956298531642656
MIL,4,50.88208944764047,7.947294131720564
MIL,5,51.163576844817804,7.898260049001097
MIL,6,51.29234457331411,7.870929789853552
MIL,7,51.419847797217315,7.843734604132068
MIL,8,51.9373969594936,7.782348980192725
MIL,9,52.065111623087645,7.754804154267249
MIL,10,52.58695267806725,7.692751135709028
MIL,11,51.90631380295575,7.6382833799808445
MIL,12,52.298343803292155,7.578110353175254
MIL,13,51.59619090102641,7.524915053767062
MIL,14,50.91817746065514,7.468981336346001
MIL,15,51.548533207708694,7.408816440883883
MIL,16,50.73464686569223,7.369440500827295
MIL,17,50.96242940331374,7.323450339204322
MIL,18,50.32587048069643,7.262517768048835
MIL,19,50.664823019044654,7.203013339104272
MIL,20,51.208537589199565,7.136549749090817
MIL,21,51.40669138646117,7.0936559571683135
MIL,22,50.857549716070444,7.026295747617494
MIL,23,51.141064819462265,6.970543109850819
MIL,24,51.41420249220177,6.915618917519168
MIL,25,52.04082829154317,6.850327115126974
MIL,26,52.35119845347252,6.790045913340612
MIL,27,51.725226266133035,6.723487623612899
MIL,28,52.37869210431408,6.658480478269323
MIL,29,51.67345119663826,6.598241067551787
MIL,30,52.31339867495009,6.530821086301116
MIL,31,52.922765668428326,6.460431407720848
MIL,32,52.53711618561879,6.3896014658297
MIL,33,52.22991742603738,6.325299049858514
MIL,34,51.69924430078949,6.249209742314456
MIL,35,50.95871213434009,6.189869219077792
MIL,36,51.204109210438084,6.1321369551849685
MIL,37,50.524648669711794,6.06353251297335
MIL,38,51.07953080908234,5.984780499247714
MIL,39,51.23751531465818,5.941932954981049
MIL,40,50.95308120054211,5.875770690877432
MIL,41,51.54149571043433,5.796059996353002
MIL,42,52.19786700897583,5.7208256588752455
MIL,43,51.866786060984495,5.645977424168837
MIL,44,51.1695753495256,5.573694361016752
MIL,45,51.47806916386777,5.499687086274835
MIL,46,52.154941764564555,5.422761136359762
MIL,47,51.55475974578428,5.337086688255916
MIL,48,52.03229922447548,5.246525737017363
MIL,49,52.541012519255915,5.1542141951264275
MIL,50,52.82835043874841,5.0773281305983105
MIL,51,53.0192615085386,5.018552771042687
MIL,52,53.32307326640361,4.936935733089316
MIL,53,53.68066865821967,4.846734830513116
MIL,54,54.172115854691896,4.746653508743896
MIL,55,54.651308497354435,4.644564859906997
MIL,56,55.199926263420934,4.540998026705496
MIL,57,55.60068005764118,4.438254398543084
MIL,58,56.035171018540254,4.3306105897234435
MIL,59,56.302787905433554,4.242787034734401
MIL,60,56.543013819418114,4.15933683237722
MIL,61,56.99527253028691,4.043320266535962
MIL,62,57.1521579537231,3.979987584721698
MIL,63,57.441690842220986,3.879442001638794
MIL,64,56.8913152380038,3.75491931713087
MIL,65,57.258024703640174,3.634180836434072
MIL,66,57.462226556285,3.5472520456338352
MIL,67,57.91773798059545,3.410307977024312
MIL,68,57.43199634399431,3.2665856025820146
MIL,69,57.931732474161805,3.1161164558591667
MIL,70,58.04017404903485,3.055939822114021
MIL,71,57.2816403491046,2.9385607851496363
MIL,72,57.3519181303147,2.8955368927974514
MIL,73,57.71955718111603,2.736975795431149
MIL,74,58.260234359886745,2.5567543766306353
MIL,75,57.4415749628699,2.4426796040286196
MIL,76,57.75000750534164,2.2687580376700867
MIL,77,58.07764977735523,2.0738819061735283
MIL,78,57.490858785348806,1.8356262391900209
MIL,79,57.89624690315662,1.5631735092252486
MIL,80,58.139858422715115,1.3174366015775298
MIL,81,58.43133143633785,0.9707138756221413
MIL,82,58.0,0.0
BOS,1,55.45621997892102,7.680267117789896
BOS,2,56.00872016928252,7.618181639170242
BOS,3,56.236292039032584,7.573731170668135
BOS,4,56.543324111231954,7.519577916970944
BOS,5,55.756222680922995,7.476650620505366
BOS,6,54.912401247057154,7.44271672490558
BOS,7,55.43265039559068,7.378021917209029
BOS,8,54.6226692940027,7.337843018224241
BOS,9,55.08881436936453,7.272409726678853
BOS,10,55.67528240410723,7.208069492187956
BOS,11,55.77212647109709,7.184724012236974
BOS,12,56.002471456997625,7.137170067217991
BOS,13,56.241082114388455,7.088107754470429
BOS,14,56.361186611023726,7.059411698639207
BOS,15,56.86591051051806,6.991064243522437
BOS,16,57.342257673285125,6.922191016286093
BOS,17,57.642887346269944,6.8636015624746936
BOS,18,56.87953566342556,6.812859689806476
BOS,19,57.035244652160976,6.775693780326192
BOS,20,57.16824999853288,6.742924617101401
BOS,21,57.292600720041676,6.711835048075574
BOS,22,57.50444113713756,6.663881796650567
BOS,23,57.70796628239991,6.6169922940201555
BOS,24,57.152408224159,6.544925123905314
BOS,25,57.57049605916718,6.473130655837422
BOS,26,58.095842405886515,6.398709907054955
BOS,27,58.54891241962909,6.323887198961085
BOS,28,57.86639491823359,6.257725076778086
BOS,29,57.213654375432846,6.18775778533134
BOS,30,57.297764668906396,6.163798006507426
BOS,31,56.406745159002874,6.133463306028417
BOS,32,55.55745846396165,6.093246418649716
BOS,33,54.769843721099846,6.040284569187788
BOS,34,55.07704248068126,5.972222271045852
BOS,35,55.17978225389294,5.942499777112497
BOS,36,55.395766592878914,5.88751100757425
BOS,37,55.93012339732371,5.805766138123093
BOS,38,55.26205419686463,5.731931185017447
BOS,39,54.86336314973745,5.6510232158859
BOS,40,55.15698946055433,5.5800786296480664
BOS,41,55.37169532035864,5.5217348621371265
BOS,42,55.6729463445027,5.448018311857964
BOS,43,56.291475331169266,5.364184432730177
