date,season,playoff,team1,team2,elo1_pre,elo2_pre
1980-10-25,1981,,WSB,BOS,1468.3154,1624.5065
1980-10-26,1981,,LAL,SAS,1700.7582,1522.6584
1980-10-26,1981,,MIL,WSB,1622.4628,1457.0188
1980-10-26,1981,,SEA,POR,1540.4139,1494.6589
1980-10-28,1981,,ATL,KCK,1529.623,1523.7932
1980-10-28,1981,,CHI,MIL,1451.7888,1627.7769
1980-10-28,1981,,CLE,PHI,1489.2867,1625.887
1980-10-28,1981,,DAL,UTA,1303.1979,1387.7445
1980-10-28,1981,,SAS,POR,1539.2103,1488.0369
1980-10-28,1981,,SDC,LAL,1385.7588,1684.2063
1980-10-28,1981,,SEA,GSW,1547.036,1443.5698
1980-10-29,1981,,DET,BOS,1294.0278,1635.8031
1980-10-29,1981,,GSW,DEN,1437.6082,1418.3337
1980-10-29,1981,,HOU,DAL,1463.5109,1293.5963
1980-10-29,1981,,IND,NYK,1486.0514,1509.8949
1980-10-29,1981,,KCK,POR,1517.0531,1483.2546
1980-10-29,1981,,NJN,MIL,1453.7267,1634.0001
1980-10-29,1981,,PHI,CHI,1639.1311,1445.5656
1980-10-29,1981,,PHO,SDC,1652.6683,1376.6302
1980-10-29,1981,,UTA,SAS,1397.3461,1543.9926
1980-10-30,1981,,NYK,ATL,1503.676,1536.3632
1980-10-31,1981,,BOS,KCK,1640.8856,1525.4268
1980-10-31,1981,,CHI,IND,1442.4739,1492.2703
1980-10-31,1981,,DET,PHO,1288.9453,1654.894
1980-10-31,1981,,LAL,CLE,1693.3348,1476.0426
1980-10-31,1981,,NJN,WSB,1443.5154,1451.7047
1980-10-31,1981,,PHI,ATL,1642.2228,1533.2617
1980-10-31,1981,,SDC,GSW,1374.4045,1442.3348
1980-10-31,1981,,SEA,SAS,1552.9977,1529.5662
1980-10-31,1981,,UTA,DAL,1411.7725,1291.3762
1980-11-01,1981,,ATL,MIL,1528.9038,1644.2114
1980-11-01,1981,,CHI,DET,1432.4513,1286.8811
1980-11-01,1981,,DEN,SEA,1413.6071,1532.079
1980-11-01,1981,,GSW,SAS,1429.8895,1550.4849
1980-11-01,1981,,IND,NJN,1502.2928,1446.8541
1980-11-01,1981,,KCK,PHO,1522.7329,1656.9583
1980-11-01,1981,,NYK,WSB,1506.7775,1448.366
1980-11-01,1981,,PHI,BOS,1646.5807,1643.5795
1980-11-01,1981,,POR,UTA,1474.881,1418.3066
1980-11-02,1981,,LAL,DEN,1695.4877,1421.1294
1980-11-02,1981,,MIL,IND,1651.5143,1508.6162
1980-11-02,1981,,POR,CLE,1460.1168,1473.8898
1980-11-03,1981,,SEA,CLE,1524.5566,1468.4153
1980-11-04,1981,,DAL,SDC,1284.842,1386.8499
1980-11-04,1981,,LAL,POR,1683.1254,1465.5913
1980-11-04,1981,,MIL,DET,1655.7809,1281.1539
1980-11-04,1981,,PHO,IND,1674.7418,1504.3496
1980-11-04,1981,,UTA,KCK,1433.0708,1504.9493
1980-11-04,1981,,WSB,ATL,1440.6174,1521.601
1980-11-05,1981,,BOS,ATL,1639.4197,1504.2609
1980-11-05,1981,,GSW,CLE,1444.389,1455.8256
1980-11-05,1981,,HOU,SDC,1465.731,1399.6167
1980-11-05,1981,,KCK,NYK,1499.9233,1514.526
1980-11-05,1981,,NJN,CHI,1440.5308,1438.1785
